"Measure","Time","Ethnicity","Ethnicity_type","Role_Type","Broad_grade","Grade","Entry_level","Value","Headcount"
"Percentage of NHS staff in NHS trusts and CCGs","March 2019","Asian","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","29.1","8018"
"Percentage of NHS staff in NHS trusts and CCGs","March 2019","Black","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","6.5","1782"
"Percentage of NHS staff in NHS trusts and CCGs","March 2019","Chinese","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","3.4","943"
"Percentage of NHS staff in NHS trusts and CCGs","March 2019","Mixed","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","4.1","1136"
"Percentage of NHS staff in NHS trusts and CCGs","March 2019","Other","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","4.8","1322"
"Percentage of NHS staff in NHS trusts and CCGs","March 2019","Unknown","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","N/A","3578"
"Percentage of NHS staff in NHS trusts and CCGs","March 2019","White","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","52.1","14383"
"Percentage of NHS staff in NHS trusts and CCGs","March 2019","All","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","N/A","313"
"Percentage of NHS staff in NHS trusts and CCGs","March 2019","Asian","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","38","108"
"Percentage of NHS staff in NHS trusts and CCGs","March 2019","Black","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","7","20"
"Percentage of NHS staff in NHS trusts and CCGs","March 2019","Chinese","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","1.1","3"
"Percentage of NHS staff in NHS trusts and CCGs","March 2019","Mixed","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","3.5","10"
"Percentage of NHS staff in NHS trusts and CCGs","March 2019","Other","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","7.7","22"
"Percentage of NHS staff in NHS trusts and CCGs","March 2019","Unknown","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","N/A","29"
"Percentage of NHS staff in NHS trusts and CCGs","March 2019","White","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","42.6","121"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","All","ONS 6+1","Non-Medical","All grades","All grades","All","N/A","1070152"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Asian","ONS 6+1","Non-Medical","All grades","All grades","All","5.4","55375"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Black","ONS 6+1","Non-Medical","All grades","All grades","All","5.2","53153"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Chinese","ONS 6+1","Non-Medical","All grades","All grades","All","0.4","3987"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Mixed","ONS 6+1","Non-Medical","All grades","All grades","All","1.1","10735"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Other","ONS 6+1","Non-Medical","All grades","All grades","All","1.6","16452"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Unknown","ONS 6+1","Non-Medical","All grades","All grades","All","N/A","48496"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","White","ONS 6+1","Non-Medical","All grades","All grades","All","86.3","881954"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","All","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","N/A","43072"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Asian","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","6.2","2515"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Black","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","5.2","2088"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Chinese","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","0.3","118"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Mixed","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","1.1","462"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Other","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","1.7","704"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Unknown","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","N/A","2646"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","White","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","85.4","34539"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","All","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","N/A","179464"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Asian","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","4.6","7783"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Black","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","4.6","7847"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Chinese","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","0.2","287"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Mixed","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","1.1","1803"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Other","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","1.4","2347"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Unknown","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","N/A","8885"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","White","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","88.2","150512"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","All","ONS 6+1","Non-Medical","Support Roles","Band 3","Non-Graduate","N/A","144813"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Asian","ONS 6+1","Non-Medical","Support Roles","Band 3","Non-Graduate","3.8","5281"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Black","ONS 6+1","Non-Medical","Support Roles","Band 3","Non-Graduate","4.7","6543"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Chinese","ONS 6+1","Non-Medical","Support Roles","Band 3","Non-Graduate","0.2","237"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Mixed","ONS 6+1","Non-Medical","Support Roles","Band 3","Non-Graduate","1","1414"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Other","ONS 6+1","Non-Medical","Support Roles","Band 3","Non-Graduate","1","1422"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Unknown","ONS 6+1","Non-Medical","Support Roles","Band 3","Non-Graduate","N/A","6497"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","White","ONS 6+1","Non-Medical","Support Roles","Band 3","Non-Graduate","89.2","123419"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","All","ONS 6+1","Non-Medical","Support Roles","Band 4","Non-Graduate","N/A","94388"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Asian","ONS 6+1","Non-Medical","Support Roles","Band 4","Non-Graduate","3.8","3436"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Black","ONS 6+1","Non-Medical","Support Roles","Band 4","Non-Graduate","3.5","3127"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Chinese","ONS 6+1","Non-Medical","Support Roles","Band 4","Non-Graduate","0.2","178"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Mixed","ONS 6+1","Non-Medical","Support Roles","Band 4","Non-Graduate","1","881"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Other","ONS 6+1","Non-Medical","Support Roles","Band 4","Non-Graduate","0.7","620"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Unknown","ONS 6+1","Non-Medical","Support Roles","Band 4","Non-Graduate","N/A","3755"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","White","ONS 6+1","Non-Medical","Support Roles","Band 4","Non-Graduate","90.9","82391"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","All","ONS 6+1","Non-Medical","Middle Roles","Band 5","Graduate","N/A","236988"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Asian","ONS 6+1","Non-Medical","Middle Roles","Band 5","Graduate","9","20219"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Black","ONS 6+1","Non-Medical","Middle Roles","Band 5","Graduate","7.8","17585"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Chinese","ONS 6+1","Non-Medical","Middle Roles","Band 5","Graduate","0.4","990"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Mixed","ONS 6+1","Non-Medical","Middle Roles","Band 5","Graduate","1.2","2783"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Other","ONS 6+1","Non-Medical","Middle Roles","Band 5","Graduate","2.7","6183"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Unknown","ONS 6+1","Non-Medical","Middle Roles","Band 5","Graduate","N/A","11434"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","White","ONS 6+1","Non-Medical","Middle Roles","Band 5","Graduate","78.8","177794"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","All","ONS 6+1","Non-Medical","Middle Roles","Band 6","Graduate","N/A","178126"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Asian","ONS 6+1","Non-Medical","Middle Roles","Band 6","Graduate","5.3","8983"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Black","ONS 6+1","Non-Medical","Middle Roles","Band 6","Graduate","5.6","9606"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Chinese","ONS 6+1","Non-Medical","Middle Roles","Band 6","Graduate","0.6","989"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Mixed","ONS 6+1","Non-Medical","Middle Roles","Band 6","Graduate","1","1686"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Other","ONS 6+1","Non-Medical","Middle Roles","Band 6","Graduate","1.9","3253"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Unknown","ONS 6+1","Non-Medical","Middle Roles","Band 6","Graduate","N/A","7871"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","White","ONS 6+1","Non-Medical","Middle Roles","Band 6","Graduate","85.6","145738"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","All","ONS 6+1","Non-Medical","Middle Roles","Band 7","Graduate","N/A","112687"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Asian","ONS 6+1","Non-Medical","Middle Roles","Band 7","Graduate","3.8","4149"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Black","ONS 6+1","Non-Medical","Middle Roles","Band 7","Graduate","4","4294"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Chinese","ONS 6+1","Non-Medical","Middle Roles","Band 7","Graduate","0.7","772"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Mixed","ONS 6+1","Non-Medical","Middle Roles","Band 7","Graduate","0.9","989"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Other","ONS 6+1","Non-Medical","Middle Roles","Band 7","Graduate","1.1","1168"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Unknown","ONS 6+1","Non-Medical","Middle Roles","Band 7","Graduate","N/A","4150"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","White","ONS 6+1","Non-Medical","Middle Roles","Band 7","Graduate","89.5","97165"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","All","ONS 6+1","Non-Medical","Senior Roles","Band 8a","Graduate","N/A","36330"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Asian","ONS 6+1","Non-Medical","Senior Roles","Band 8a","Graduate","4","1387"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Black","ONS 6+1","Non-Medical","Senior Roles","Band 8a","Graduate","3","1037"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Chinese","ONS 6+1","Non-Medical","Senior Roles","Band 8a","Graduate","0.6","206"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Mixed","ONS 6+1","Non-Medical","Senior Roles","Band 8a","Graduate","1","339"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Other","ONS 6+1","Non-Medical","Senior Roles","Band 8a","Graduate","0.9","310"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Unknown","ONS 6+1","Non-Medical","Senior Roles","Band 8a","Graduate","N/A","1246"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","White","ONS 6+1","Non-Medical","Senior Roles","Band 8a","Graduate","90.7","31805"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","All","ONS 6+1","Non-Medical","Senior Roles","Band 8b","Graduate","N/A","17236"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Asian","ONS 6+1","Non-Medical","Senior Roles","Band 8b","Graduate","3.6","599"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Black","ONS 6+1","Non-Medical","Senior Roles","Band 8b","Graduate","2.1","345"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Chinese","ONS 6+1","Non-Medical","Senior Roles","Band 8b","Graduate","0.6","94"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Mixed","ONS 6+1","Non-Medical","Senior Roles","Band 8b","Graduate","0.9","148"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Other","ONS 6+1","Non-Medical","Senior Roles","Band 8b","Graduate","0.7","119"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Unknown","ONS 6+1","Non-Medical","Senior Roles","Band 8b","Graduate","N/A","614"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","White","ONS 6+1","Non-Medical","Senior Roles","Band 8b","Graduate","92.1","15317"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","All","ONS 6+1","Non-Medical","Senior Roles","Band 8c","Graduate","N/A","8763"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Asian","ONS 6+1","Non-Medical","Senior Roles","Band 8c","Graduate","2.5","208"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Black","ONS 6+1","Non-Medical","Senior Roles","Band 8c","Graduate","1.9","159"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Chinese","ONS 6+1","Non-Medical","Senior Roles","Band 8c","Graduate","0.5","43"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Mixed","ONS 6+1","Non-Medical","Senior Roles","Band 8c","Graduate","0.9","80"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Other","ONS 6+1","Non-Medical","Senior Roles","Band 8c","Graduate","0.6","53"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Unknown","ONS 6+1","Non-Medical","Senior Roles","Band 8c","Graduate","N/A","307"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","White","ONS 6+1","Non-Medical","Senior Roles","Band 8c","Graduate","93.6","7913"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","All","ONS 6+1","Non-Medical","Senior Roles","Band 8d","Graduate","N/A","4738"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Asian","ONS 6+1","Non-Medical","Senior Roles","Band 8d","Graduate","2.7","123"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Black","ONS 6+1","Non-Medical","Senior Roles","Band 8d","Graduate","1.5","68"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Chinese","ONS 6+1","Non-Medical","Senior Roles","Band 8d","Graduate","0.4","16"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Mixed","ONS 6+1","Non-Medical","Senior Roles","Band 8d","Graduate","0.8","35"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Other","ONS 6+1","Non-Medical","Senior Roles","Band 8d","Graduate","0.6","26"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Unknown","ONS 6+1","Non-Medical","Senior Roles","Band 8d","Graduate","N/A","219"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","White","ONS 6+1","Non-Medical","Senior Roles","Band 8d","Graduate","94.1","4251"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","All","ONS 6+1","Non-Medical","Senior Roles","Band 9","Graduate","N/A","1114"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Asian","ONS 6+1","Non-Medical","Senior Roles","Band 9","Graduate","2.3","25"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Black","ONS 6+1","Non-Medical","Senior Roles","Band 9","Graduate","1","11"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Chinese","ONS 6+1","Non-Medical","Senior Roles","Band 9","Graduate","0.3","3"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Mixed","ONS 6+1","Non-Medical","Senior Roles","Band 9","Graduate","1.1","12"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Other","ONS 6+1","Non-Medical","Senior Roles","Band 9","Graduate","0.6","7"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Unknown","ONS 6+1","Non-Medical","Senior Roles","Band 9","Graduate","N/A","33"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","White","ONS 6+1","Non-Medical","Senior Roles","Band 9","Graduate","94.6","1023"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","All","ONS 6+1","Non-Medical","Other grades","Non AfC Grade","Unspecified","N/A","18211"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Asian","ONS 6+1","Non-Medical","Other grades","Non AfC Grade","Unspecified","5.3","899"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Black","ONS 6+1","Non-Medical","Other grades","Non AfC Grade","Unspecified","4","677"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Chinese","ONS 6+1","Non-Medical","Other grades","Non AfC Grade","Unspecified","0.5","87"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Mixed","ONS 6+1","Non-Medical","Other grades","Non AfC Grade","Unspecified","0.9","153"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Other","ONS 6+1","Non-Medical","Other grades","Non AfC Grade","Unspecified","1.7","284"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Unknown","ONS 6+1","Non-Medical","Other grades","Non AfC Grade","Unspecified","N/A","1098"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","White","ONS 6+1","Non-Medical","Other grades","Non AfC Grade","Unspecified","87.7","15013"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","All","ONS 6+1","Non-Medical","Very Senior Manager","Very Senior Manager","Graduate","N/A","1887"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Asian","ONS 6+1","Non-Medical","Very Senior Manager","Very Senior Manager","Graduate","2","35"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Black","ONS 6+1","Non-Medical","Very Senior Manager","Very Senior Manager","Graduate","0.6","11"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Chinese","ONS 6+1","Non-Medical","Very Senior Manager","Very Senior Manager","Graduate","0.1","2"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Mixed","ONS 6+1","Non-Medical","Very Senior Manager","Very Senior Manager","Graduate","0.6","10"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Other","ONS 6+1","Non-Medical","Very Senior Manager","Very Senior Manager","Graduate","0.2","3"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Unknown","ONS 6+1","Non-Medical","Very Senior Manager","Very Senior Manager","Graduate","N/A","94"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","White","ONS 6+1","Non-Medical","Very Senior Manager","Very Senior Manager","Graduate","96.6","1732"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","All","ONS 6+1","Non-Medical","All grades","All grades","All","N/A","1058723"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Asian","ONS 6+1","Non-Medical","All grades","All grades","All","5.6","56838"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Black","ONS 6+1","Non-Medical","All grades","All grades","All","5.3","53776"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Chinese","ONS 6+1","Non-Medical","All grades","All grades","All","0.4","3854"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Mixed","ONS 6+1","Non-Medical","All grades","All grades","All","1.1","10926"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Other","ONS 6+1","Non-Medical","All grades","All grades","All","1.6","16681"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Unknown","ONS 6+1","Non-Medical","All grades","All grades","All","N/A","43635"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","White","ONS 6+1","Non-Medical","All grades","All grades","All","86","873013"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","All","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","N/A","41247"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Asian","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","6.6","2571"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Black","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","5.3","2046"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Chinese","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","0.2","92"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Mixed","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","1.1","444"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Other","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","1.8","711"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Unknown","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","N/A","2404"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","White","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","84.9","32979"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","All","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","N/A","174181"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Asian","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","4.7","7839"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Black","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","4.7","7817"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Chinese","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","0.2","292"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Mixed","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","1.1","1786"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Other","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","1.4","2370"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Unknown","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","N/A","7991"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","White","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","87.9","146086"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","All","ONS 6+1","Non-Medical","Support Roles","Band 3","Non-Graduate","N/A","142080"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Asian","ONS 6+1","Non-Medical","Support Roles","Band 3","Non-Graduate","4","5421"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Black","ONS 6+1","Non-Medical","Support Roles","Band 3","Non-Graduate","4.9","6742"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Chinese","ONS 6+1","Non-Medical","Support Roles","Band 3","Non-Graduate","0.2","232"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Mixed","ONS 6+1","Non-Medical","Support Roles","Band 3","Non-Graduate","1","1419"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Other","ONS 6+1","Non-Medical","Support Roles","Band 3","Non-Graduate","1","1380"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Unknown","ONS 6+1","Non-Medical","Support Roles","Band 3","Non-Graduate","N/A","5717"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","White","ONS 6+1","Non-Medical","Support Roles","Band 3","Non-Graduate","88.9","121169"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","All","ONS 6+1","Non-Medical","Support Roles","Band 4","Non-Graduate","N/A","93050"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Asian","ONS 6+1","Non-Medical","Support Roles","Band 4","Non-Graduate","4","3612"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Black","ONS 6+1","Non-Medical","Support Roles","Band 4","Non-Graduate","3.6","3214"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Chinese","ONS 6+1","Non-Medical","Support Roles","Band 4","Non-Graduate","0.2","189"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Mixed","ONS 6+1","Non-Medical","Support Roles","Band 4","Non-Graduate","1","917"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Other","ONS 6+1","Non-Medical","Support Roles","Band 4","Non-Graduate","0.7","617"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Unknown","ONS 6+1","Non-Medical","Support Roles","Band 4","Non-Graduate","N/A","3352"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","White","ONS 6+1","Non-Medical","Support Roles","Band 4","Non-Graduate","90.5","81149"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","All","ONS 6+1","Non-Medical","Middle Roles","Band 5","Graduate","N/A","237540"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Asian","ONS 6+1","Non-Medical","Middle Roles","Band 5","Graduate","9","20488"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Black","ONS 6+1","Non-Medical","Middle Roles","Band 5","Graduate","7.7","17556"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Chinese","ONS 6+1","Non-Medical","Middle Roles","Band 5","Graduate","0.4","951"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Mixed","ONS 6+1","Non-Medical","Middle Roles","Band 5","Graduate","1.3","2874"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Other","ONS 6+1","Non-Medical","Middle Roles","Band 5","Graduate","2.8","6315"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Unknown","ONS 6+1","Non-Medical","Middle Roles","Band 5","Graduate","N/A","10287"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","White","ONS 6+1","Non-Medical","Middle Roles","Band 5","Graduate","78.8","179069"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","All","ONS 6+1","Non-Medical","Middle Roles","Band 6","Graduate","N/A","179811"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Asian","ONS 6+1","Non-Medical","Middle Roles","Band 6","Graduate","5.4","9354"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Black","ONS 6+1","Non-Medical","Middle Roles","Band 6","Graduate","5.7","9852"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Chinese","ONS 6+1","Non-Medical","Middle Roles","Band 6","Graduate","0.6","985"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Mixed","ONS 6+1","Non-Medical","Middle Roles","Band 6","Graduate","1","1760"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Other","ONS 6+1","Non-Medical","Middle Roles","Band 6","Graduate","2","3371"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Unknown","ONS 6+1","Non-Medical","Middle Roles","Band 6","Graduate","N/A","7216"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","White","ONS 6+1","Non-Medical","Middle Roles","Band 6","Graduate","85.3","147273"
